Trajectories
200
,,Remi:T1,,,Remi:T13,,,Remi:XYPH,,,Remi:VTR1,,,Remi:VT2,,,Remi:TV3,,,Remi:DRSC,,,Remi:CDSC,,,Remi:ACRM,,,Remi:SC1,,,Remi:SC2,,,Remi:GRTB,,,Remi:LEPI,,,Remi:MEPI,,,Remi:TRIC,,,Remi:OLEC,,,Remi:MSTY,,,Remi:LSTY,,,Remi:MDCR,,,Remi:ACCB,,,Remi:MCP5,,,Remi:MCP2,,,Remi:ILWG,,,Remi:ISCM,,,Remi:CRS,,,Remi:CDS,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
119,0,-82.0986,235.43,646.173,-142.781,443.983,631.911,-93.5182,361.004,317.747,-209.583,411.371,612.188,,,,,,,-139.811,221.82,614.078,-161.809,266.906,589.937,-183.336,167.223,460.589,-182.381,164.894,501.57,-189.232,204.24,484.567,-163.604,137.861,440.606,-166.53,212.337,295.4,-106.567,215.678,292.586,-175.996,224.611,382.094,-155.638,249.964,313.107,-77.387,209.122,118.369,-128.063,223.951,115.486,-122.026,193.76,189.897,-118.084,241.211,82.3987,-116.348,200.754,37.7755,-67.0939,203.255,48.069,-284.91,623.945,578.576,-327.299,657.728,455.271,-240.838,663.186,582.354,-256.665,709.232,539.793
120,0,-81.6153,235.53,645.592,-142.681,443.934,631.786,-93.4207,360.915,317.823,-209.498,411.19,611.985,,,,,,,-139.615,221.783,613.938,-162.429,267.281,589.774,-183.198,167.132,460.553,-182.412,164.775,501.706,-189.239,204.09,484.54,-163.509,137.538,440.959,-166.431,212.358,295.375,-106.493,215.688,292.593,-175.901,224.507,382.096,-155.58,249.959,313.097,-76.0238,210.045,118.568,-128.053,223.959,115.441,-122.06,193.767,190.091,-118.45,241.228,82.4382,-116.474,200.637,37.8569,-67.0839,203.248,48.0602,-284.9,623.743,578.638,-327.47,657.461,455.267,-240.974,663.268,582.183,-256.709,709.031,539.629
121,0,-81.7875,235.474,646.003,-142.837,443.93,631.792,-93.3913,360.981,317.794,-209.559,411.254,612.045,,,,,,,-139.522,221.738,614.007,-162.851,267.582,589.602,-183.22,167.111,460.523,-182.314,164.714,501.681,-189.286,203.878,484.582,-163.392,137.633,440.729,-166.345,212.392,295.268,-106.411,215.686,292.597,-175.729,224.485,381.907,-155.513,249.966,313.101,-76.0461,210.047,118.647,-128.029,223.961,115.459,-122.005,193.81,190.071,-117.71,241.285,82.3784,-115.454,201.337,37.4771,-67.0101,203.21,47.9515,-285.046,623.62,578.521,-327.672,657.06,455.158,-241.044,663.022,582.238,-256.913,708.917,539.584
122,0,-82.5447,234.28,645.714,-142.963,443.807,631.766,-93.2753,360.912,317.893,-209.532,411.204,612.045,,,,,,,-139.335,221.755,613.824,-163.018,267.782,589.419,-183.131,167.058,460.549,-182.214,164.675,501.712,-189.092,203.923,484.516,-163.401,137.569,440.652,-166.271,212.415,295.179,-106.356,215.701,292.611,-175.732,224.371,382.128,-155.495,249.958,313.188,-76.0453,210.047,118.64,-127.898,224.005,115.438,-122.005,193.812,190.105,-118.142,241.3,82.4364,-115.475,201.274,37.4879,-67.1677,203.189,47.8297,-285.021,623.427,578.571,-327.7,657.213,455.18,-241.122,662.93,582.256,-256.978,708.708,539.469
123,0,-81.9143,234.333,645.694,-142.999,443.827,631.707,-93.1491,360.947,317.783,-209.572,411.436,612.117,,,,,,,-139.274,221.591,613.914,-162.932,267.87,589.231,-183.133,166.969,460.564,-182.078,164.624,501.628,-189.21,203.701,484.697,-163.245,137.532,440.625,-166.171,212.366,295.248,-106.197,215.615,292.607,-175.625,224.272,382.108,-155.389,249.934,313.149,-76.0958,210.002,118.699,-127.93,224.005,115.462,-121.963,193.817,190.172,-117.908,241.285,82.3499,-115.432,201.352,37.4243,-67.2213,203.358,47.7974,-285.068,623.232,578.61,-327.829,657.036,455.193,-241.091,662.803,582.044,-257.065,708.574,539.447
124,0,-81.8408,234.074,645.404,-142.995,443.784,631.644,-93.0337,360.897,317.88,-209.489,410.879,611.868,,,,,,,-139.12,221.458,613.91,-162.635,267.85,589.049,-183.003,166.928,460.528,-181.934,164.611,501.623,-189.146,203.577,484.643,-163.144,137.538,440.503,-166.14,212.368,295.264,-106.14,215.627,292.584,-175.495,224.263,382.152,-155.366,249.931,313.242,-75.894,210.081,118.517,-127.83,224.01,115.425,-121.955,193.822,190.132,-117.568,241.261,82.2835,-115.509,201.266,37.6146,-67.151,203.264,47.8435,-285.105,622.878,578.552,-328.007,656.391,455.01,-241.353,662.611,582.211,-257.219,708.259,539.338
125,0,-81.5139,233.913,645.237,-143.089,443.802,631.618,-92.9174,360.808,317.994,-209.363,410.59,611.719,,,,,,,-138.936,221.42,613.824,-162.198,267.734,588.89,-182.93,166.87,460.534,-181.86,164.52,501.641,-189.108,203.5,484.727,-163.068,137.391,440.727,-166.091,212.307,295.363,-106.083,215.641,292.592,-175.363,224.272,382.099,-155.192,249.915,313.208,-75.8865,210.105,118.513,-127.809,223.99,115.503,-121.838,193.841,190.001,-117.947,241.267,82.4089,-115.468,201.275,37.5143,-67.0183,203.248,47.9108,-285.151,622.781,578.552,-327.892,656.396,455.014,-241.2,662.569,581.545,-257.337,708.014,539.188
126,0,-81.7178,233.397,644.336,-143.018,443.742,631.481,-92.7859,360.782,317.817,-209.327,411.326,612.028,,,,,,,-138.719,221.351,613.72,-161.702,267.546,588.769,-182.844,166.859,460.542,-181.735,164.441,501.611,-188.448,203.849,484.153,-162.938,137.342,440.619,-166.021,212.293,295.331,-105.994,215.542,292.615,-175.313,224.15,382.278,-155.133,249.94,313.36,-75.8146,210.164,118.475,-127.735,224.002,115.455,-121.906,193.85,190.22,-118.076,241.281,82.4097,-115.397,201.279,37.4588,-67.0835,203.273,47.7861,-285.129,622.633,578.562,-328.014,656.141,454.958,-241.292,662.453,581.462,-257.51,708.098,539.494
127,0,-81.5778,233.288,644.405,-143.051,443.652,631.569,-92.6527,360.714,317.914,-209.233,411.285,611.966,,,,,,,-138.403,221.29,613.462,-161.231,267.312,588.697,-182.762,166.761,460.549,-181.605,164.364,501.678,-187.478,204.415,483.3,-162.838,137.306,440.565,-165.9,212.3,295.363,-105.938,215.556,292.628,-175.236,223.868,382.571,-155.166,249.886,313.367,-75.7943,210.137,118.546,-127.703,223.995,115.515,-121.81,193.82,190.162,-117.932,241.268,82.3601,-115.48,201.258,37.604,-66.9971,203.254,47.8521,-285.188,622.508,578.721,-327.79,656.644,454.926,-241.423,662.303,581.418,-257.614,707.916,539.366
128,0,-81.503,233.129,644.856,-142.903,443.429,631.552,-92.5529,360.684,318.049,-209.174,410.479,611.56,,,,,,,-138.348,221.1,613.626,-160.851,267.061,588.679,-182.605,166.757,460.453,-181.454,164.358,501.586,-186.229,205.155,482.187,-162.75,137.31,440.359,-165.768,212.255,295.372,-105.878,215.55,292.655,-175.137,223.881,382.553,-155.016,249.881,313.167,-75.7527,210.059,118.576,-127.705,223.991,115.536,-121.778,193.851,190.279,-117.952,241.273,82.3905,-116.561,200.456,38.0479,-67.0702,203.305,47.8003,-285.233,622.284,578.77,-328.162,655.648,454.884,-241.526,662.151,581.403,-257.555,707.959,539.461
